2016-01-19T09:40:27Z,U.S. Supreme Court to Decide Major Case on Obama Immigration Plan,By REUTERS,"The U.S. Supreme Court on Tuesday paved the way for a major ruling on the limits of presidential powers, agreeing to decide the legality of President Barack Obama's unilateral action to shield more than 4 million illegal immigrants from deportation."
2016-01-20T00:00:00Z,"For Now, Bernie Sanders’s Health Plan Is More of a Tax Plan",By MARGOT SANGER-KATZ,"A single-payer program is short on the complex details of how it would work in real life, except for how it would be funded."
2016-01-19T00:00:00Z,Just Saying Yes to the Politics of Drugs,By EMMA ROLLER,"As overdose rates rise, candidates are opening up about the spread of addiction, hoping to connect with voters."
2016-01-18T12:51:13Z,"Facing Primary Fight From Sanders, Clinton Embraces Obama",By THE ASSOCIATED PRESS,"Facing fresh campaign anxieties, Hillary Clinton is attaching herself to President Barack Obama, hoping to overcome liberal enthusiasm for Vermont Sen. Bernie Sanders with a full-throated embrace of her one-time rival and boss."
2016-01-18T03:31:40Z,AP FACT CHECK: Gunslingers on Amtrak Trains?,By THE ASSOCIATED PRESS,Hillary Clinton bungled statistics when giving President Barack Obama's health care law credit for driving down the nation's health costs and picked through her rival's gun control record for just the parts that make him look like a buddy of the gun lobby.
2016-01-18T00:00:00Z,Health Reform Realities,By PAUL KRUGMAN,Should progressives re-litigate Obamacare? There are many reasons to think that it just wouldn’t work.
2016-01-18T02:12:58Z,Clinton's Embrace of Obama Holds Risks for General Election Matchup,By REUTERS,"Hillary Clinton has distanced herself from President Barack Obama on a number of high-profile issues since starting her bid for the White House. Now, under pressure from left-leaning challenger Bernie Sanders, she is embracing him and his legacy with fervor."
2016-01-18T00:40:57Z,Sanders Lashes Out at Clinton in Contentious Democratic Debate,By REUTERS,"Democratic White House candidate Bernie Sanders went on the offensive against front-runner Hillary Clinton on Sunday in the most contentious of their four presidential debates, accusing her of cozying up to Wall Street and misrepresenting his stance on healthcare and guns."
2016-01-18T00:00:00Z,"Hillary Clinton Turns, Repeatedly, to a Democrat Not on the Debate Stage: Obama",By JONATHAN MARTIN,"Seeking to stabilize her campaign, Mrs. Clinton linked herself repeatedly to the president in the Democratic debate."
2016-01-18T00:00:00Z,Transcript of the Democratic Presidential Debate,NA,"Following is a transcript of the Democratic debate, as transcribed by the Federal News Service."
2016-01-17T22:34:21Z,My Take on the Democratic Presidential Debate,By NICHOLAS KRISTOF,
2016-01-17T22:28:57Z,AP FACT CHECK: Democratic Debaters and the Facts,By THE ASSOCIATED PRESS,Bernie Sanders airbrushed the complexities of trying to overhaul health care all over again and Hillary Clinton offered a selective reading of her rival's record on gun control in the latest Democratic presidential debate.
2016-01-17T19:38:03Z,Sanders Releases Universal Healthcare Plan Before Democratic Debate,By REUTERS,"U.S. Democratic presidential candidate Bernie Sanders released details on Sunday evening about his ""Medicare-for-all"" universal healthcare funding plan and how he would pay for it."
2016-01-17T17:48:08Z,"Race Tightens: Clinton, Sanders Clash on Guns, Health Care",By THE ASSOCIATED PRESS,"Turning up the temperature, Hillary Clinton and Bernie Sanders tangled repeatedly in Sunday night's presidential debate over who's tougher on gun control and Wall Street and how to steer the future of health care in America. It was the last Democratic matchup before voting begins in two weeks, and both sides were eager to rumble as polls showed the race tightening in the leadoff states of Iowa and New Hampshire."
2016-01-17T01:11:41Z,Sanders Lashes Out at Clinton in Last Democratic Debate Before Iowa Contest,By REUTERS,"Democratic White House contender Bernie Sanders put front-runner Hillary Clinton on the defensive at a debate on Sunday, criticizing her for accepting speaking fees from Wall Street investors and sparring with her over healthcare."
2016-01-16T13:48:45Z,"U.S. Republicans Laud Iran Prisoner Release, Attack Obama Strategy",By REUTERS,"U.S. Republican presidential candidates on Saturday praised the release of five Americans held in Iran, but said the Obama administration had conceded too much to win their freedom."
2016-01-16T12:43:33Z,TINA and the ACA,By PAUL KRUGMAN,
2016-01-16T02:55:56Z,Hillary Clinton Campaign Deploys Husband Bill Very Carefully,By THE ASSOCIATED PRESS,"Bill Clinton promised voters in 1992 that they'd be getting ""two for the price of one"" if they elected him to the White House &#8212; a presidential duo of the young Arkansas governor and his Yale Law-educated wife."
2016-01-16T00:00:00Z,"Hillary and Bernie, Punching",By GAIL COLLINS,"The Democrats may have strayed off the high road, but they’re a long way from Trump-Cruz territory."
2016-01-15T08:18:28Z,Neil Cavuto and the Dynamics of Misinformation,By PAUL KRUGMAN,
2016-01-15T01:18:16Z,U.S. Justices Take No Action on Obama Immigration Case,By REUTERS,"The U.S. Supreme Court on Friday took no immediate action on whether it will hear President Barack Obama's bid to revive his plan to shield more than 4 million immigrants from deportation, a move that bypassed the Republican-led Congress."
2016-01-15T00:00:00Z,Transcript of Republican Presidential Debate,NA,"The candidates, in their own heated words as recorded by the Federal News Service, sparring on ISIS and Iran, the economy and each other."
2016-01-14T00:00:00Z,Politics: Everything’s Relative,By GAIL COLLINS,"Here are rules for dealing with family members showing up in the presidential race, like when to give them a break and when to go for the jugular."
2016-01-14T01:19:12Z,"Obama Says Will Focus on Criminal Justice Reform, Cancer Research",By REUTERS,"President Barack Obama said on Thursday that he will focus his final-year legislative efforts on criminal justice reform, an expansion of a tax credit for the working poor, and a push to find medical research breakthroughs."
2016-01-13T17:49:54Z,"Hillary Clinton and Bernie Sanders Intensify Fight over Health, Guns and Costs",By MAGGIE HABERMAN and ALAN RAPPEPORT,
2016-01-14T00:00:00Z,Obama’s Final State of the Union Speech,NA,Readers mostly praise the president’s speech as hopeful and inclusive.
2016-01-13T08:55:28Z,Yes He Did,By PAUL KRUGMAN,
2016-01-13T04:03:43Z,Obama Stresses State of Union Themes in Nebraska,By THE ASSOCIATED PRESS,"Stressing themes from his State of the Union address, President Barack Obama on Wednesday urged the country to respond to economic and other societal changes with confidence instead of fear."
2016-01-13T00:00:00Z,The Republican Party’s 50-State Solution,By THOMAS B. EDSALL,"Conservative strategists understand that if you turn enough of the local map red, you can shrink the power of government just where you want it shrunk."
2016-01-13T00:00:13Z,"South Carolina's Haley Urges Tolerance, Civility in Republican Reply to Obama",By REUTERS,"South Carolina Governor Nikki Haley, in the Republican response to President Barack Obama's State of the Union address on Tuesday, seized the spotlight to set herself apart from her party's field of presidential candidates, calling for tolerance on immigration and civility in politics."
2016-01-12T20:31:38Z,South Carolina Governor Urges Tolerance for Immigrants in State of Union Response,By REUTERS,"South Carolina Governor Nikki Haley, giving the Republican response to President Barack Obama's State of the Union address on Tuesday, took a softer tone on immigration than the harsh rhetoric often heard from her party's presidential candidates."
2016-01-12T18:46:42Z,"Chelsea Clinton, Again Her Mother&#8217;s Surrogate, Takes Up the Fight Against Bernie Sanders",By NICK CORASANITI,
2016-01-12T12:20:58Z,"With Democratic Race Narrowing, Clinton Rips Into Sanders",By THE ASSOCIATED PRESS,"Facing a narrowing primary contest, Hillary Clinton ripped into rival Bernie Sanders on Tuesday, saying the Vermont senator was offering unrealistic policies and overstating his anti-establishment credentials."
2016-01-11T16:36:04Z,Louisiana Governor Pledges to Expand Medicaid in Inaugural Address,By REUTERS,"Louisiana Governor John Bel Edwards laid out his agenda during his inaugural address on Monday, pledging to expand Medicaid, enact education reforms, and find long-term solutions to the state's large budget deficit. "
2016-01-11T00:00:00Z,Governors Get Smarter on Medicaid,By THE EDITORIAL BOARD,Some leaders from both parties have seen the wisdom of not rejecting generous federal matching funds.
2016-01-11T00:00:00Z,The Obama Boom,By PAUL KRUGMAN,Dire warnings from Republicans about the effect of President Obama’s policies on employment have simply not come true.
2016-01-11T00:00:00Z,"In Final State of the Union Address, Obama Aims to Set Tone for ’16 Campaign",By PETER BAKER,Mr. Obama hopes to use his last address as president to frame the debate about who should replace him and where the country should go from here.
2016-01-10T00:00:00Z,"Hillary Clinton Ad Blasts Republicans, Saying Only She ‘Can Stop Them’",By NICK CORASANITI,"The ad offers Mrs. Clinton as the sole alternative to the Republican candidates, portraying her as a battle-hardened candidate who can take them on."
2016-01-09T05:00:00Z,Obama Vetoes Bill to Repeal Health Law and End Planned Parenthood Funding,By GARDINER HARRIS,Mr. Obama said the legislation would “reverse the significant progress we have made in improving health care in America.”
2016-01-08T15:56:06Z,Texas Governor Joins GOP Calls for Constitutional Convention,By THE ASSOCIATED PRESS,"Texas Gov. Greg Abbott sought to lure Republican support Friday for calling the first U.S. constitutional convention since 1787, a new a priority for his administration that has bemoaned federal courts blocking state laws over gay marriage, abortion restrictions and voting rights."
2016-01-08T12:19:54Z,Obama Vetoes Legislative Bid to Dismantle Signature Healthcare Law,By REUTERS,"U.S. President Barack Obama on Friday vetoed legislation passed by the Republican-controlled U.S. Congress that would have dismantled his signature healthcare law, the Affordable Care Act."
2016-01-08T12:04:30Z,Obama Vetoes Bill to Repeal Signature Health Care Law,By THE ASSOCIATED PRESS,"Protecting his signature domestic achievement, President Barack Obama on Friday vetoed Republican-inspired legislation to repeal his health care law, saying to do so ""would reverse the significant progress we have made in improving health care in America."""
2016-01-08T10:27:13Z,Rahm and His Party,By ROSS DOUTHAT,
2016-01-07T23:39:43Z,Ted Cruz&#8217;s Iowa Bus Tour: A Misfired One-Liner,By MATT FLEGENHEIMER,
2016-01-08T00:00:00Z,Obama Administration Optimistic About Health Plan Goal,By ROBERT PEAR,"The administration said 11.3 million people had signed up for health insurance so far in the third open enrollment period, citing &#8220;unprecedented demand for marketplace coverage.&#8221;"
2016-01-07T14:40:49Z,U.S. Says 11.3 Million Americans Have Signed Up for 2016 Obamacare Plans,By REUTERS,"About 11.3 million Americans have signed up so far for individual health insurance in 2016 through HealthCare.gov and the state-based exchanges, the U.S. government said on Thursday."
2016-01-07T03:17:51Z,US Seeks Strong Finish on Health Care Sign-Ups Amid Doubts,By THE ASSOCIATED PRESS,"Seeking a strong showing in President Barack Obama's last year in office, the administration said Thursday 11.3 million people have enrolled for health law coverage with three weeks still left in the sign-up season."
2016-01-06T18:17:36Z,"Congress Sends Bill to Gut Obamacare, to Certain Veto",By REUTERS,"The U.S. Congress on Wednesday approved legislation dismantling President Barack Obama's signature health care plan, putting on his desk an election-year measure that faces a certain veto."
